book_id,isbn13,original_publication_year,original_title,title,image_url,small_image_url
54,9780345391800,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
55,9780060929880,1932,Brave New World,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
56,9780316067930,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg
57,9780142001740,2001,The Secret Life of Bees,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg
58,9780142437180,1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg
59,9780064410940,1952,Charlotte's Web,Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg
60,9781400032720,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg
61,9781594633670,2015,The Girl on the Train,The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62,9780679879240,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
63,9780393978900,1847,Wuthering Heights,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64,9780743454540,2004,My Sister's Keeper,My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg
65,9780385333850,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg
66,9780446675540,1936,Gone with the Wind,Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg
67,9781594489500,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg
68,9780671027350,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg
69,9780007442910,2012,Insurgent,"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg
70,9780812550700,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
71,9780141439470,1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg
72,9780450040180,1977,The Shining,The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg
73,9780316068050,2008,The Host,"The Host (The Host, #1)",https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg
74,9780142402510,2005,Looking for Alaska,Looking for Alaska,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
75,9780140280100,1996,Sense and Sensibility,"Bridget Jones's Diary (Bridget Jones, #1)",https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg
76,9780141439660,1811,Holes,Sense and Sensibility,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
77,9780439244190,1998,The Devil Wears Prada,"Holes (Holes, #1)",https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
78,9780307275550,2003,á½ˆÎ´ÏÏƒÏƒÎµÎ¹Î±,"The Devil Wears Prada (The Devil Wears Prada, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
79,9780143039950,-720,Le Petit Prince,The Odyssey,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg
80,9780156012200,1946,The Glass Castle,The Little Prince,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
81,9780743247540,2005,Into the Wild,The Glass Castle,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg
82,9780385486800,1996,A Tale of Two Cities,Into the Wild,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg
83,9780141439600,1859,Jurassic Park,A Tale of Two Cities,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
84,9780307348140,1990,The Giving Tree,"Jurassic Park (Jurassic Park, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,9780060256650,1964,A Time to Kill,The Giving Tree,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
86,9780385338610,1989,Un di Velt Hot Geshvign,A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87,9780374500020,1958,Paper Towns,Night (The Night Trilogy #1),https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg
88,9780142414930,2008,The Princess Bride,Paper Towns,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
89,9780345418260,1973,The Outsiders,The Princess Bride ,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
90,9780140385720,1967,The Maze Runner,The Outsiders,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
91,9780385737940,2009,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"The Maze Runner (Maze Runner, #1)",https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
92,9780061234000,2005,The Secret Garden,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg
93,9780517189600,1911,Cien aÃ±os de soledad,The Secret Garden,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
94,9780060531040,1967,The Picture of Dorian Gray,One Hundred Years of Solitude,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
95,9780375751520,1891,Fifty Shades Freed,The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
96,9780345803500,2012,Dracula,"Fifty Shades Freed (Fifty Shades, #3)",https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg
97,9780393970130,1897,Flickan som lekte med elden,Dracula,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
98,9780307269980,2006,Fifty Shades Darker,"The Girl Who Played with Fire (Millennium, #2)",https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg
99,9781612130580,2011,The Poisonwood Bible,"Fifty Shades Darker (Fifty Shades, #2)",https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg
100,9780060786500,1998,Me Talk Pretty One Day,The Poisonwood Bible,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg
101,9780349113910,2000,Where the Wild Things Are,Me Talk Pretty One Day,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
102,9780099408390,1963,Le Comte de Monte-Cristo,Where the Wild Things Are,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
103,9780140449270,1844,The Road,The Count of Monte Cristo,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
104,9780307265430,2006,Allegiant,The Road,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
105,9780007524270,2013,Bossypants,"Allegiant (Divergent, #3)",https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
106,9780446693810,2011,A Walk to Remember,Bossypants,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554s/9418327.jpg
107,9780440241420,1999,Confessions of a Shopaholic,A Walk to Remember,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
108,9780451525260,2000,Les MisÃ©rables,"Confessions of a Shopaholic (Shopaholic, #1)",https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
109,9780553381700,1862,A Clash of Kings,Les MisÃ©rables,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg
110,9780143037150,1998,The Memory Keeper's Daughter,"A Clash of Kings  (A Song of Ice and Fire, #2)",https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
111,9780670026610,2005,Me Before You,The Memory Keeper's Daughter,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
112,9780684833390,2012,Catch-22,"Me Before You (Me Before You, #1)",https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
113,9780751529810,1961,Tuesdays with Morrie,Catch-22,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
114,9780312422160,1997,Middlesex,Tuesdays with Morrie,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg
115,9780143039560,2002,The Adventures of Tom Sawyer,Middlesex,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
116,9780440498060,1876,A Wrinkle in Time,The Adventures of Tom Sawyer,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
117,9780143038090,1962,The Joy Luck Club,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
118,9780385490820,1989,The Handmaid's Tale,The Joy Luck Club,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg
119,9780385729340,1985,The Sisterhood of the Traveling Pants,The Handmaid's Tale,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg
120,9780060987110,2001,Lolita,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
121,9780582418270,1955,Wicked: The Life and Times of the Wicked Witch of the West,Lolita,https://images.gr-assets.com/books/1377756377m/7604.jpg,https://images.gr-assets.com/books/1377756377s/7604.jpg
122,9780316098340,1995,The Firm,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg
123,9780521618750,1991,Room,"The Firm (Penguin Readers, Level 5)",https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg
124,9780340839940,2010,"The Tragicall Historie of Hamlet, Prince of Denmark",Room,https://images.gr-assets.com/books/1344265419m/7937843.jpg,https://images.gr-assets.com/books/1344265419s/7937843.jpg
125,9780316346630,1600,Dune,Hamlet,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg
126,9781451648540,1965,The Tipping Point: How Little Things Can Make a Big Difference,Dune (Dune Chronicles #1),https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg
127,9780451163970,2000,Steve Jobs,The Tipping Point: How Little Things Can Make a Big Difference,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg
128,9780684830490,2011,One Flew Over the Cuckoo's Nest,Steve Jobs,https://images.gr-assets.com/books/1327861368m/11084145.jpg,https://images.gr-assets.com/books/1327861368s/11084145.jpg
129,9780142000660,1962,The Old Man and the Sea,One Flew Over the Cuckoo's Nest,https://images.gr-assets.com/books/1485308778m/332613.jpg,https://images.gr-assets.com/books/1485308778s/332613.jpg
130,9781401308580,1952,The Grapes of Wrath,The Old Man and the Sea,https://images.gr-assets.com/books/1329189714m/2165.jpg,https://images.gr-assets.com/books/1329189714s/2165.jpg
131,9780451528830,1939,The Five People You Meet in Heaven,The Grapes of Wrath,https://images.gr-assets.com/books/1352912927m/4395.jpg,https://images.gr-assets.com/books/1352912927s/4395.jpg
132,9781416914300,2003,Anne of Green Gables,The Five People You Meet in Heaven,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
133,9780553573430,1908,City of Glass,"Anne of Green Gables (Anne of Green Gables, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
134,9780060759960,2009,A Storm of Swords,"City of Glass (The Mortal Instruments, #3)",https://images.gr-assets.com/books/1369452339m/3777732.jpg,https://images.gr-assets.com/books/1369452339s/3777732.jpg
135,9780440242950,2000,Divine Secrets of the Ya-Ya Sisterhood,"A Storm of Swords (A Song of Ice and Fire, #3)",https://images.gr-assets.com/books/1497931121m/62291.jpg,https://images.gr-assets.com/books/1497931121s/62291.jpg
136,9780142437260,1996,Outlander,Divine Secrets of the Ya-Ya Sisterhood,https://images.gr-assets.com/books/1408313524m/137791.jpg,https://images.gr-assets.com/books/1408313524s/137791.jpg
137,9781594744760,1991,The Scarlet Letter,"Outlander (Outlander, #1)",https://images.gr-assets.com/books/1402600310m/10964.jpg,https://images.gr-assets.com/books/1402600310s/10964.jpg
138,9780307270000,1850,Miss Peregrineâ€™s Home for Peculiar Children,The Scarlet Letter,https://images.gr-assets.com/books/1404810944m/12296.jpg,https://images.gr-assets.com/books/1404810944s/12296.jpg
139,9780804139020,2011,Luftslottet som sprÃ¤ngdes,"Miss Peregrineâ€™s Home for Peculiar Children (Miss Peregrineâ€™s Peculiar Children, #1)",https://images.gr-assets.com/books/1472782916m/9460487.jpg,https://images.gr-assets.com/books/1472782916s/9460487.jpg
140,9780451207140,2007,The Martian,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://images.gr-assets.com/books/1327708260m/6892870.jpg,https://images.gr-assets.com/books/1327708260s/6892870.jpg
141,9781476746590,2012,The Pillars of the Earth,The Martian,https://images.gr-assets.com/books/1413706054m/18007564.jpg,https://images.gr-assets.com/books/1413706054s/18007564.jpg
142,9781400064170,1989,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","The Pillars of the Earth (The Kingsbridge Series, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
143,9780671027380,2014,Deception Point,All the Light We Cannot See,https://images.gr-assets.com/books/1451445646m/18143977.jpg,https://images.gr-assets.com/books/1451445646s/18143977.jpg
144,9780316055440,2010,The Goldfinch,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://images.gr-assets.com/books/1327861115m/8664353.jpg,https://images.gr-assets.com/books/1327861115s/8664353.jpg
