book_id,author
108,Sophie Kinsella
109,Lee Fahnestock
109,Norman MacAfee
109,Victor Hugo
110,George R.R. Martin
111,Kim Edwards
112,Jojo Moyes
113,Joseph Heller
114,Mitch Albom
114,Saulius Dagys
115,Jeffrey Eugenides
116,Guy Cardwell
116,John Seelye
116,Mark Twain
117,Madeleine L'Engle
118,Amy Tan
119,Margaret Atwood
120,Ann Brashares
121,Craig Raine
121,Vladimir Nabokov
122,Douglas Smith
122,Gregory Maguire
123,John Grisham
124,Emma Donoghue
125,Rex Gibson
125,Richard Andrews
125,William Shakespeare
126,Frank Herbert
127,Malcolm Gladwell
128,Walter Isaacson
129,Ken Kesey
130,Ernest Hemingway
131,John Steinbeck
132,Mitch Albom
133,L.M. Montgomery
134,Cassandra Clare
135,George R.R. Martin
136,Rebecca Wells
137,Diana Gabaldon
138,Nathaniel Hawthorne
138,Nina Baym
138,Thomas E. Connolly
139,Ransom Riggs
140,Reg Keeland
140,Stieg Larsson
141,Andy Weir
142,Ken Follett
143,Anthony Doerr
144,Laura Hillenbrand
145,Dan Brown
146,Donna Tartt
147,Jay Asher
148,Tracy Chevalier
149,Gayle Forman
150,Anita Diamant
151,Rick Riordan
152,Nicholas Sparks
153,Cassandra Clare
154,William Shakespeare
155,J.R.R. Tolkien
156,Emily Giffin
157,Dr. Seuss
157,לאה נאור
158,Quentin Blake
158,Roald Dahl
159,Rick Riordan
160,Charles Dickens
161,J.R.R. Tolkien
162,Albert Camus
162,Matthew    Ward
163,Rick Riordan
164,Rainbow Rowell
165,George R.R. Martin
166,Ally Condie
167,Neil Gaiman
168,Bernie Wrightson
168,Stephen King
169,Nicholas Sparks
170,Dan Brown
171,Fiona Stafford
171,Jane Austen
172,Aylmer Maude
172,Leo Tolstoj
172,Leo Tolstoy
172,Louise Maude
173,Anthony Burgess
174,William Paul Young
175,Rick Riordan
176,Stephen King
177,David McDuff
177,Fyodor Dostoyevsky
178,Sylvia Plath
179,Frank McCourt
180,Hermann Hesse
180,Hilda Rosner
181,Truman Capote
182,Kami Garcia
182,Margaret Stohl
183,Cassandra Clare
184,Quentin Blake
184,Roald Dahl
185,Erin Morgenstern
186,Philippa Gregory
187,Scott Westerfeld
188,George R.R. Martin
189,J.R.R. Tolkien
190,Cheryl Strayed
191,Alan Moore
191,Dave Gibbons
191,John Higgins
192,Patrick Rothfuss
193,Malcolm Gladwell
194,Andrew Delbanco
194,Herman Melville
194,Tom Quirk
195,Annie Barrows
195,Mary Ann Shaffer
196,Chuck Palahniuk
197,Charlaine Harris
198,Alice Walker
199,John Grogan
200,Agatha Christie
201,Dan Brown
202,Becca Fitzpatrick
203,Jamie McGuire
204,Charles Dickens
205,Anne Rice
206,Kiera Cass
207,Janet Evanovich
208,Rebecca Skloot
209,Thomas Harris
210,Richelle Mead
211,Malcolm Gladwell
212,Ian McEwan
213,Franz Kafka
213,Stanley Corngold
214,Rick Riordan
215,Ernest Cline
216,Garth Stein
217,Erik Larson
217,Tony Goldwyn
218,Sylvia Day
219,C.S. Lewis
219,Pauline Baynes
220,Mark Cotta Vaz
221,Dave Pelzer
222,Robert Ludlum
223,Eoin Colfer
224,Lauren Kate
225,John Steinbeck
226,Gillian Flynn
227,John Grisham
228,Emma McLaughlin
228,Nicola Kraus
229,John Tenniel
229,Lewis Carroll
229,Martin Gardner
230,Deidre Shauna Lynch
230,James Kinsley
230,Jane Austen
231,Tatiana de Rosnay
232,Stephen King
233,Edith Grossman
233,Gabriel García Márquez
234,Laurie Halse Anderson
235,Liane Moriarty
236,Jon Krakauer
237,Stephen King
238,Augusten Burroughs
239,Max Brooks
240,Dan Brown
241,Lois Lowry
242,James Patterson
243,Stephen King
244,Gillian Flynn
245,Katherine Paterson
246,Kristin Cast
246,P.C. Cast
247,Stephen R. Covey
248,Barbara A. Mowat
248,Catherine Belsey
248,Paul Werstine
248,William Shakespeare
249,Jonathan Safran Foer
250,R.J. Palacio
251,Dr. Seuss
252,Marissa Meyer
253,J.K. Rowling
253,Robert Galbraith
254,Maggie Stiefvater
255,Ayn Rand
255,Leonard Peikoff
256,David Oliver Relin
256,Greg Mortenson
257,Jane Carruth
257,Lewis Carroll
257,Rene Cloke
258,Carlos Ruiz Zafón
258,Lucia Graves
259,James Dashner
260,Dale Carnegie
261,Frances Mayes
262,Liane Moriarty
263,Gail Carson Levine
264,Ernest Hemingway
265,Betty  Smith
266,James Patterson
267,Kristin Hannah
268,Kazuo Ishiguro
269,Cecelia Ahern
270,Daphne du Maurier
270,Sally Beauman
271,Daniel Keyes
272,Carol Christensen
272,Laura Esquivel
272,Thomas  Christensen
273,Lisa See
274,Mario Puzo
274,Peter Bart
274,Robert Thompson
275,John Green
276,Isaac Asimov
277,Neil Gaiman
278,Shel Silverstein
279,J.K. Rowling
279,Jack Thorne
279,John Tiffany
280,Lauren Oliver
281,John Grisham
282,Neil Gaiman
283,Neil Gaiman
283,Terry Pratchett
284,Jack Kerouac
285,Graeme Simsion
286,Nicholas Sparks
287,Ayn Rand
287,Leonard Peikoff
288,Tom Clancy
289,Richard Adams
290,Mindy Kaling
291,Abraham Verghese
292,C.S. Lewis
292,Pauline Baynes
293,Robert Louis Stevenson
294,Rick Riordan
295,Stephen King
296,Eric Carle
297,Kurt Vonnegut Jr.
298,Carlo Pagetti
298,Greg Bear
298,H.G. Wells
299,Lynn Vincent
299,Todd Burpo
300,John Boyne
301,Joseph Conrad
302,Nicholas Sparks
303,Rhonda Byrne
304,Wally Lamb
305,Stephen King
306,Wally Lamb
307,Patrick Rothfuss
308,Sophie Kinsella
309,Cassandra Clare
310,Jennifer Weiner
311,Colleen McCullough
312,Dave McKean
312,Neil Gaiman
313,M.L. Stedman
314,Anthea Bell
314,Cornelia Funke
315,Kenneth H. Blanchard
315,Spencer Johnson
316,Bill Bryson
317,Maya Angelou
318,Christina Baker Kline
319,Cassandra Clare
320,Maria Semple
321,Wilson Rawls
322,Neil Gaiman
323,Michael Henry Heim
323,Milan Kundera
324,Rainbow Rowell
325,John Irving
326,Janet Fitch
327,Marie Lu
328,Jodi Picoult
329,Jeffrey Zaslow
329,Randy Pausch
330,Robert Jordan
331,Jodi Picoult
332,C.S. Lewis
333,Lisa Genova
334,Sylvia Day
335,Quentin Blake
335,Roald Dahl
336,James Patterson
337,Douglas Adams
338,David Nicholls
339,Clement Hurd
339,Margaret Wise Brown
340,Pittacus Lore
341,Bernard Knox
341,Frédéric Mugler
341,Homer
341,Robert Fagles
342,J.K. Rowling
343,John Grisham
344,David Sedaris
345,Christopher Paolini
346,L. Frank Baum
346,W.W. Denslow
347,C.S. Lewis
348,E. Lockhart
349,Stephen King
350,Hunter S. Thompson
350,Ralph Steadman
351,Cassandra Clare
352,Amy Poehler
353,William Shakespeare
354,Toni Morrison
355,Kristin Cashore
356,Brett Helquist
356,Lemony Snicket
357,A.W. Wheen
357,Erich Maria Remarque
358,Dr. Seuss
359,Khaled Hosseini
360,Philip K. Dick
360,Roger Zelazny
361,Charles Dickens
361,George Cruikshank
361,Philip Horne
362,C.S. Lewis
363,Stephanie Perkins
364,Dr. Seuss
365,Alan Moore
365,David   Lloyd
366,David McCullough
367,Dean Koontz
368,Philip Pullman
369,Jerry Spinelli
370,Rick Riordan
371,Robert A. Heinlein
372,David Sedaris
373,Quentin Blake
373,Roald Dahl
374,Bill Bryson
375,Jack London
376,James Dashner
377,Neil Gaiman
378,Jhumpa Lahiri
379,Deborah Harkness
380,Haruki Murakami
380,Jay Rubin
381,Billie Letts
382,David Levithan
382,John Green
383,James Frey
384,Richelle Mead
385,Susan Cain
386,Scott O'Dell
387,Arthur Miller
387,Christopher Bigsby
388,Gary Paulsen
389,Brandon Sanderson
390,Dan Chaon
390,Mervyn Peake
390,Robert Louis Stevenson
390,Vladimir Nabokov
391,Dr. Seuss
392,Jeff Kinney
393,Sarah J. Maas
394,Richelle Mead
395,Ernest Hemingway
396,Jamie Ford
397,John E. Woods
397,Patrick Süskind
398,Eric Schlosser
399,J.K. Rowling
400,William Gibson
401,Ernest Hemingway
402,Edgar Allan Poe
403,Sun Tzu
403,Thomas Cleary
404,William Landay
405,Kurt Vonnegut Jr.
406,Betty Edwards
407,Ann Patchett
408,Jared Diamond
409,Fannie Flagg
410,Chinua Achebe
411,Sophie Kinsella
412,Gary Chapman
413,Alexandre Dumas
414,Chris Cleave
415,Alyson Noel
416,Quentin Blake
416,Roald Dahl
417,Diane Setterfield
418,Richelle Mead
419,Richelle Mead
420,Nicholas Sparks
421,Paula McLain
422,J.K. Rowling
423,Kiera Cass
424,Seán Barrett
424,Umberto Eco
424,William Weaver
425,Anonymous
425,Beatrice Sparks
426,John Kennedy Toole
426,Walker Percy
427,Oscar Wilde
428,Rick Riordan
429,Terry Pratchett
430,Haruki Murakami
430,Philip Gabriel
431,Thomas Harris
432,Isaac Asimov
433,J.R. Ward
434,Becca Fitzpatrick
435,Lauren Oliver
436,Arundhati Roy
437,Sue Monk Kidd
438,Liane Moriarty
439,Cao Chi
439,Phạm Văn Thiều
439,Stephen Hawking
440,Ken Follett
441,Stephen King
442,Neal Stephenson
443,Sarah Dessen
444,A.A. Milne
444,Ernest H. Shepard
445,S.J. Watson
446,Arthur Conan Doyle
447,Christopher Paolini
448,Rick Warren
449,Kristin Cast
449,P.C. Cast
450,Jim Butcher
451,Alfred MacAdam
451,Jane Austen
452,Rick Yancey
453,Charles Frazier
454,Felicia Bond
454,Laura Joffe Numeroff
455,Emily Giffin
456,Tennessee Williams
457,Elizabeth Kostova
458,Emily St. John Mandel
459,Fredrik Backman
459,Henning Koch
460,Cassandra Clare
461,Pearl S. Buck
462,John Berger
463,Diana Gabaldon
464,Anonymous
465,Jennifer Weiner
466,Chuck Dixon
466,David Wenzel
466,J.R.R. Tolkien
466,Sean Deming
467,Junot Díaz
468,Zora Neale Hurston
469,Albus Dumbledore
469,J.K. Rowling
469,Newt Scamander
470,Christina Lamb
470,Malala Yousafzai
471,Claire Lamont
471,Jane Austen
471,Kathryn Sutherland
471,Tony Tanner
472,Viktor E. Frankl
473,Tana French
474,Richard Dawkins
475,Gayle Forman
476,John Irving
477,Lee Child
478,Daniel Defoe
478,Gerald McCann
478,Virginia Woolf
479,Adolph Caso
479,Benjamin Martinez
479,Niccolò Machiavelli
479,Rufus Goodwin
480,Philip Pullman
481,Terry Goodkind
482,Kathleen Grissom
483,J.D. Salinger
484,Chuck Palahniuk
485,Fyodor Dostoyevsky
485,Larissa Volokhonsky
485,Richard Pevear
486,Jeanne DuPrau
487,Michael Crichton
488,Stephen King
489,Kahlil Gibran
490,Art Spiegelman
491,Kristin Cast
491,P.C. Cast
492,Orson Scott Card
493,C.S. Lewis
494,Donna Tartt
495,Dave Eggers
496,Jean M. Auel
497,Anna Sewell
498,Aylmer Maude
498,Henry Gifford
498,Leo Tolstoy
498,Louise Maude
499,Bret Easton Ellis
500,Meg Cabot
501,Alexander McCall Smith
502,Robert Kirkman
502,Tony Moore
503,Arthur C. Clarke
504,Francine Rivers
505,Jerry B. Jenkins
505,Tim LaHaye
506,Kiera Cass
507,Suzanne Collins
508,Barbara Ehrenreich
509,Sophie Kinsella
510,Robert Jordan
511,Patricia Cornwell
512,Edgar Allan Poe
513,Corrie ten Boom
513,Elizabeth Sherrill
513,John Sherrill
514,Arthur Conan Doyle
515,Pat Conroy
516,Michael Chabon
517,Simone Elkeles
518,J.M. Barrie
518,Michael Hague
519,Scott Westerfeld
520,Haruki Murakami
520,Jay Rubin
521,Michael Connelly
522,David Mitchell
523,Tim O'Brien
524,Banksy
525,Lauren Oliver
526,Jeff Lindsay
527,Charlaine Harris
528,Robert Jordan
529,Jonathan Swift
529,Robert DeMaria Jr.
530,Barbara A. Mowat
530,Gail Kern Paster
530,Paul Werstine
530,Robert          Jackson
530,William Shakespeare
531,Seamus Heaney
531,Unknown
532,David Mazzucchelli
532,Dennis O'Neil
532,Frank Miller
532,Richmond Lewis
533,Harper Lee
534,David Sedaris
535,Laini Taylor
536,Victoria Aveyard
537,Charles Duhigg
538,John Berendt
539,Colleen Hoover
540,Frances Hodgson Burnett
540,Nancy Bond
541,Sarah Dessen
542,C.S. Lewis
543,Richelle Mead
544,Garth Williams
544,Laura Ingalls Wilder
545,Margery Williams Bianco
545,William   Nicholson
546,Robert M. Pirsig
547,Arthur C. Clarke
547,H.G. Wells
548,Sara Shepard
549,Don Freeman
550,Michael Pollan
551,Kate Atkinson
552,Nicholas Sparks
553,Stephen King
554,Diana Gabaldon
555,Kenneth Branagh
555,William Shakespeare
556,Stephen King
557,Jeffrey Eugenides
558,Charlaine Harris
559,Margaret R. Higonnet
559,Thomas Hardy
559,Tim Dolin
560,Gustave Flaubert
560,Malcolm Bowie
560,Margaret Mauldon
560,Mark Overstall
561,Jules Feiffer
561,Norton Juster
562,Brandon Sanderson
563,Charlaine Harris
564,Ned Vizzini
565,Brandon Sanderson
566,Jojo Moyes
567,Vanessa Diffenbaugh
568,Frank Miller
568,Klaus Janson
568,Lynn Varley
569,James Patterson
570,Nick Hornby
571,Nicholas Sparks
572,Margaret Atwood
573,John Gray
574,Anthony Bourdain
575,Michael Crichton
576,Voltaire
577,Natalie Babbitt
578,Marie Milpois
578,Stephen King
579,P.D. Eastman
580,E.H. Gombrich
581,Marissa Meyer
582,Robert T. Kiyosaki
583,Becca Fitzpatrick
584,Lev Grossman
585,Takeshi Obata
585,Tsugumi Ohba
586,Libba Bray
587,Jonathan Safran Foer
588,Robert Ludlum
589,Tammara Webber
590,Charles Dickens
590,Jeremy Tambling
591,Ellen Forney
591,Sherman Alexie
592,Diana Burgin
592,Ellendea Proffer
592,Katherine Tiernan O'Connor
592,Mikhail Bulgakov
593,Ursula K. Le Guin
594,Chris Sheban
594,Kate DiCamillo
595,John Knowles
596,John Grisham
597,John Rutherford
597,Miguel de Cervantes Saavedra
597,Roberto González Echevarría
598,Robin Hobb
599,Douglas Adams
600,Lauren Kate
601,Beatrix Potter
602,C.S. Lewis
602,Pauline Baynes
603,Brandon Sanderson
604,Susanna Kaysen
605,Chelsea Handler
606,Richard Bach
606,Russell Munson
607,Cassandra Clare
608,Robert Munsch
608,Sheila McGraw
609,Stephen King
610,Daniel James Brown
611,Christopher Tolkien
611,J.R.R. Tolkien
611,Ted Nasmith
612,Stephen King
613,Kate Morton
614,Edwin Muir
614,Franz Kafka
614,Max Brod
614,Willa Muir
615,Sarah Dessen
616,Jodi Picoult
617,Piper Kerman
618,Anne Perry
618,Arthur Conan Doyle
619,Daniel Kahneman
620,Marion Zimmer Bradley
621,Judy Blume
622,Nicholas Sparks
623,Stephen King
624,Charlaine Harris
625,Chris Bohjalian
626,Chris Van Allsburg
627,Jon Scieszka
627,Lane Smith
628,Tom Clancy
629,Margaret Jull Costa
629,Paulo Coelho
630,Nell Scovell
630,Sheryl Sandberg
631,Charlaine Harris
632,Tahereh Mafi
633,Robert A. Heinlein
634,Sophie Kinsella
635,Jostein Gaarder
635,Paulette Møller
636,Mark Cotta Vaz
637,Ray Bradbury
638,Jennifer Egan
639,Angelo  Rinaldi
639,Beverly Cleary
639,Johanna Spyri
640,Michael Crichton
641,C.S. Lewis
642,Ken Follett
643,Kristin Cast
643,P.C. Cast
644,Colleen Hoover
645,Alex Flinn
646,Geoffrey Chaucer
646,Nevill Coghill
647,Emily Giffin
648,Christopher Paolini
649,Haruki Murakami
649,Jay Rubin
649,Philip Gabriel
650,Harriet Beecher Stowe
651,Alexander Teixeira de Mattos
651,Gaston Leroux
652,Charlaine Harris
653,Giovanni Pontiero
653,José Saramago
654,Jonathan Franzen
655,Ally Condie
656,Ally Carter
657,Aravind Adiga
658,Jonathan Franzen
659,Barack Obama
660,Michael Crichton
661,Judith Viorst
661,Ray Cruz
662,Jhumpa Lahiri
663,Howard Zinn
664,Truman Capote
665,Justin Cronin
666,Neil Gaiman
667,Sarah Dessen
668,Celeste Ng
669,Isabel Allende
669,Magda Bogin
670,Stephen King
671,Agatha Christie
671,Ροζίτα Σώκου
672,Agatha Christie
673,Chimamanda Ngozi Adichie
674,James Patterson
675,Stephen King
676,Sylvia Day
677,Christopher McDougall
678,Gabrielle Zevin
679,Ludwig Bemelmans
680,Napoleon Hill
681,Garth Williams
681,Laura Ingalls Wilder
682,Susanna Clarke
683,Nicholas Sparks
684,Rick Riordan
685,Michael  Grant
686,Nicholas Sparks
687,David McCullough
688,Jon Krakauer
689,Jess Walter
690,Barack Obama
691,Stephen King
692,Kristin Hannah
693,Michael Crichton
694,Emily Giffin
695,J.K. Rowling
695,Robert Galbraith
696,Anne Rice
697,Ann Patchett
698,Matthew Quick
699,Anthony Bonner
699,Jules Verne
700,Philippa Gregory
701,Maureen Howard
701,Virginia Woolf
702,Jonas Jonasson
702,Rod Bradbury
703,Stephen King
704,John Irving
705,Richard Bachman
705,Stephen King
706,Brian W. Aldiss
706,Jules Verne
706,Michael Glencross
707,Sharon Creech
708,Margaret Jull Costa
708,Paulo Coelho
709,J.D. Salinger
710,Julie Powell
711,Neal Shusterman
712,Diana Gabaldon
713,Marie Lu
714,William Shakespeare
715,Arthur Miller
716,Nicholas Sparks
717,Kate Egan
718,William Faulkner
719,Eckhart Tolle
720,Tite Kubo
721,Allie Brosh
722,Robert Jordan
723,Gregory David Roberts
724,Charlaine Harris
725,Ned Dameron
725,Stephen King
726,Jeffery Deaver
727,Bernhard Schlink
727,Carol Brown Janeway
728,Bill Martin Jr.
728,Eric Carle
729,Dan Simmons
730,John Steinbeck
731,William Peter Blatty
732,Stephenie Meyer
733,David Guterson
734,Alex Haley
735,Alan Moore
735,Brian Bolland
735,Tim Sale
736,Ralph Ellison
737,Ishmael Beah
738,Robert C. O'Brien
739,Stephen King
740,Garth Williams
740,Laura Ingalls Wilder
741,Melissa Bank
742,Hugh Howey
743,Christopher Moore
744,Eckhart Tolle
745,Jenny  Lawson
746,Scott Lynch
747,Garth Nix
748,Charlaine Harris
749,Jodi Picoult
750,Jennifer L. Armentrout
751,Douglas Adams
752,Sarah J. Maas
753,Bryan Lee O'Malley
754,Jeannette Walls
755,Terry Pratchett
756,Julie Kagawa
757,Larry McMurtry
758,Mary Roach
759,Richelle Mead
760,Orson Scott Card
761,Sophie Kinsella
762,Thomas Keneally
763,Toni Morrison
764,Philippa Gregory
765,Alex Haley
765,Malcolm X
766,Karen  Berger
766,Malcolm Jones III
766,Mike Dringenberg
766,Neil Gaiman
766,Sam Kieth
766,Todd Klein
767,Laura Hillenbrand
768,Dennis Lehane
769,Arthur Conan Doyle
770,Roma Gill
770,William Shakespeare
771,Erik Larson
772,Desmond Lee
772,Plato
773,William Shakespeare
774,Marissa Meyer
775,Patti Smith
776,Phaidon Press
777,Jane Green
778,Victor Hugo
778,Walter J. Cobb
779,Rohinton Mistry
780,Bill Watterson
780,G.B. Trudeau
781,Scott Westerfeld
782,Kate Chopin
783,Kristin Cast
783,P.C. Cast
784,Mitch Albom
785,Tom Clancy
786,Shel Silverstein
787,Justin Halpern
788,Eric Lindor Fall
788,Irvine Welsh
789,Isaac Asimov
790,Miguel Ruiz
791,Jodi Picoult
792,Jacob Grimm
792,James Stern
792,Josef Scharl
792,Joseph Campbell
792,Margaret Raine Hunt
792,Padraic Colum
792,Wilhelm Grimm
793,E.L. Konigsburg
794,Stephen King
795,Nick Hornby
796,Samantha Young
797,Chris Tomlin
797,Danae Yankoski
797,Francis Chan
798,Dr. Seuss
799,Dean Koontz
800,Helen Keller
801,Jonathan Tropper
802,Seth Grahame-Smith
803,Alethea Nibley
803,Athena Nibley
803,Natsuki Takaya
804,William Shakespeare
805,Kristin Cast
805,P.C. Cast
806,Dave McKean
806,Stephen King
807,Dave Eggers
808,Brian Selznick
809,Aldous Huxley
809,Christopher Hitchens
810,Bisco Hatori
811,Mary Kubica
812,Abbi Glines
813,Rainbow Rowell
814,Kristin Cast
814,P.C. Cast
815,Cormac McCarthy
816,Hilary Mantel
817,Diana Wynne Jones
818,Stephen King
818,William Olivier Desmond
819,Henry David Thoreau
820,Kazuo Ishiguro
821,Nicholas Sparks
822,Julian Barnes
823,Sue Grafton
824,J.E. Thomas
824,Sophocles
825,Lisa See
826,Gillian Avery
826,Kenneth Grahame
827,Jenny Han
828,Marjane Satrapi
828,Mattias Ripa
829,E.M. Forster
830,Kody Keplinger
831,Sarah Dessen
832,J.D. Robb
833,John Grisham
834,Stephenie Meyer
835,Katy Bridges
835,Masashi Kishimoto
836,Rachel Joyce
837,David Levithan
838,Orson Scott Card
839,Barbara A. Mowat
839,Paul Werstine
839,Robert          Jackson
839,William Shakespeare
840,James Clavell
841,J.R. Ward
842,Sarah J. Maas
843,E.L. James
844,Bill Martin Jr.
844,John Archambault
844,Lois Ehlert
845,Raina Telgemeier
846,Christopher Hitchens
846,George Orwell
847,Jacquelyn Mitchard
848,Amy Tan
849,Louise Rennison
850,Robin Sloan
851,V.C. Andrews
852,Abraham Verghese
852,Paul Kalanithi
853,Jerry Spinelli
854,Chuck Palahniuk
855,William Shakespeare
856,Lois Lowry
857,Ellen Raskin
858,Pierce Brown
859,Brent Weeks
860,Barbara Kingsolver
861,Jamie McGuire
862,Brandon Sanderson
863,Anita Jeram
863,Sam McBratney
864,Diana Gabaldon
865,John D. MacDonald
865,Stephen King
866,Peter Benchley
867,Nicole Krauss
868,Astrid Lindgren
868,Florence Lamborn
868,Lauren Child
868,Nancy Seligsohn
869,Alison Anderson
869,Muriel Barbery
870,Doris Kearns Goodwin
870,Suzanne Toren
871,Charlaine Harris
872,Albert Camus
872,Stuart Gilbert
873,Brett Helquist
873,Lemony Snicket
874,Susannah Cahalan
875,Melissa Marr
876,H.A. Rey
877,Michael Ende
877,Ralph Manheim
877,Roswitha Quadflieg
878,Sylvia Nasar
879,Earl Lee
879,Kathleen DeGrave
879,Upton Sinclair
880,Kelley Armstrong
881,Oliver Sacks
882,Ken Follett
883,Margaret Atwood
884,Ransom Riggs
885,Andre Dubus III
886,M.R. Carey
887,William Faulkner
888,Crockett Johnson
889,J.R. Ward
890,Isaac Asimov
891,Jim Butcher
892,Malcolm Gladwell
893,Akira Watanabe
893,Hiromu Arakawa
894,Terry Pratchett
895,Joan Didion
896,Lionel Shriver
897,Arthur C. Clarke
898,Anne Rice
899,Edith Wharton
899,Maureen Howard
900,Richard Dawkins
901,Geraldine Brooks
902,Michael Connelly
903,Ayn Rand
904,Sylvain Reynard
905,Judi Barrett
905,Ron Barrett
906,Helen Simonson
907,Nora Roberts
908,Jodi Picoult
909,Rick Riordan
910,John Scalzi
911,Stephen King
912,Janet Evanovich
913,Ethan Becker
913,Irma S. Rombauer
913,Marion Rombauer Becker
914,Joe Haldeman
915,Bettina Blanch Tyroller
915,Stephen King
916,Azar Nafisi
917,Joe Abercrombie
918,Eoin Colfer
919,Annie Proulx
920,Cathy Hirano
920,Marie Kondō
921,Jennifer Niven
921,فرانک معنوی
922,Kathy Reichs
923,Michael Scott
924,Jeffrey Eugenides
925,Isabel Allende
925,Margaret Sayers Peden
926,Jessica Knoll
927,Ellen Hopkins
928,Maggie Stiefvater
929,Richard Matheson
930,Elizabeth Strout
931,Joana Avillez
931,Lena Dunham
932,James C. Collins
933,Kristin Cashore
934,Samuel Beckett
935,Jack London
936,Bernie Wrightson
936,Stephen King
937,Philip Pullman
938,J.A. Redmerski
939,Kimberly McCreight
940,Jojo Moyes
941,Michael Cunningham
942,Alice Clayton
943,David Sedaris
944,Stephen King
945,Lauren Kate
946,James Dashner
947,Susan Ee
948,Richard Russo
949,Robert Jordan
950,Jandy Nelson
951,Chuck Palahniuk
952,Sophie Kinsella
953,Stephen King
954,Catherine Hardwicke
955,Sophie Kinsella
956,Richard Feynman
957,Maggie Stiefvater
958,L.M. Montgomery
959,James Joyce
959,Seamus Deane
960,Brandon Sanderson
960,Robert Jordan
961,George Eliot
961,Michel Faber
962,Colleen Hoover
963,John Grisham
964,J.R.R. Tolkien
965,S.C. Stephens
966,Scott Turow
967,Stephen King
968,Stacy Schiff
969,Thomas L. Friedman
970,Brandon Sanderson
971,J. Alison James
971,Marcus Pfister
972,Jules Verne
973,Gretchen Rubin
974,Philip K. Dick
975,Curt Gentry
975,Vincent Bugliosi
976,Dr. Seuss
976,Robert Kapilow
977,Anthony M. Esolen
977,Dante Alighieri
978,Deborah Harkness
979,Jodi Picoult
980,Patricia Briggs
981,Melissa de la Cruz
982,Caleb Carr
983,Ta-Nehisi Coates
984,John      Leonard
984,John Milton
985,Michael   Lewis
986,Stephen King
987,Jim Kay
987,Patrick Ness
987,Siobhan Dowd
988,Brandon Sanderson
988,Robert Jordan
